Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
QuickSort,Serial,50000,reversed,0,1,1,5,14,850400,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,reversed,1,2,2,1,10,221900,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,reversed,1,2,2,2,8,477700,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,reversed,1,2,2,3,11,659700,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,reversed,1,2,2,4,9,725000,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,reversed,1,2,2,5,9,362100,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,reversed,2,4,4,1,10,681900,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,reversed,2,4,4,2,8,648200,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,reversed,2,4,4,3,11,954400,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,reversed,2,4,4,4,9,854100,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,reversed,2,4,4,5,9,243300,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,reversed,3,8,8,1,9,746000,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,reversed,3,8,8,2,16,337600,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,reversed,3,8,8,3,10,810400,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,reversed,3,8,8,4,10,485700,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,reversed,3,8,8,5,9,118400,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Serial,50000,duplicates,0,1,1,1,1,749700,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Serial,50000,duplicates,0,1,1,2,1,553400,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Serial,50000,duplicates,0,1,1,3,1,542700,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Serial,50000,duplicates,0,1,1,4,1,528600,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Serial,50000,duplicates,0,1,1,5,1,570300,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,duplicates,1,2,2,1,1,721300,16,Mon Nov 03 16:19:23 GMT-03:00 2025
QuickSort,Paralela,50000,duplicates,1,2,2,2,1,440300,16,Mon Nov 03 16:19:23 GMT-03:00 2025
