Algoritmo,Modo,Tamanho,Tipo_de_Dados,Profundidade,Num_Threads_Estimado,Num_Threads_Utilizadas,Amostra,Tempo_ms,Cpu_Count,Timestamp
MergeSort,Paralela,50000,sorted,2,4,4,3,2,249100,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,sorted,2,4,4,4,6,166000,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,sorted,2,4,4,5,4,329400,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,sorted,3,8,8,1,6,697500,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,sorted,3,8,8,2,4,181300,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,sorted,3,8,8,3,5,324800,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,sorted,3,8,8,4,6,570900,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,sorted,3,8,8,5,4,355300,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,50000,reversed,0,1,1,1,4,235700,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,50000,reversed,0,1,1,2,4,463500,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,50000,reversed,0,1,1,3,4,023500,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,50000,reversed,0,1,1,4,3,936600,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Serial,50000,reversed,0,1,1,5,3,702600,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,reversed,1,2,2,1,5,010400,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,reversed,1,2,2,2,4,228300,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,reversed,1,2,2,3,3,088600,16,Mon Nov 03 16:37:49 GMT-03:00 2025
MergeSort,Paralela,50000,reversed,1,2,2,4,4,053900,16,Mon Nov 03 16:37:49 GMT-03:00 2025
